seller,buyer,post_id,buyer_comment_id,seller_comment_id,buyer_comment_time,seller_comment_time,rule,confidence,confidence_score
ZekNaemazza,Grape_Academic,1qztnv6,o4dxcb0,o4e6mal,2026-02-09 05:26:49+00:00,2026-02-09 06:43:45+00:00,seller_confirmed,high,1.0
zenpathfinder,kamarian91,1qz0ojc,o47hjrr,o47hrka,2026-02-08 05:38:38+00:00,2026-02-08 05:40:28+00:00,seller_confirmed,high,1.0
zenpathfinder,Unruly_archetype,1qz0ojc,o47hr5g,o47i30k,2026-02-08 05:40:21+00:00,2026-02-08 05:43:04+00:00,seller_confirmed,high,1.0
zenpathfinder,Loud_Movie_8484,1qz0ojc,o47kr92,o47l0o7,2026-02-08 06:05:37+00:00,2026-02-08 06:07:52+00:00,seller_confirmed,high,1.0
zenpathfinder,Keebler_elf2,1qz0ojc,o495nme,o4a07xw,2026-02-08 14:10:04+00:00,2026-02-08 16:49:32+00:00,seller_confirmed,high,1.0
stackinggold,stankc,1qyzpfp,o47ay7b,o47e8mw,2026-02-08 04:47:17+00:00,2026-02-08 05:12:19+00:00,seller_confirmed,high,1.0
stackinggold,Jayciferx,1qyzpfp,o47fcf6,o47hqxl,2026-02-08 05:21:02+00:00,2026-02-08 05:40:18+00:00,seller_confirmed,high,1.0
stackinggold,Objective_Cry_4818,1qyzpfp,o47bb2t,o47edz5,2026-02-08 04:49:58+00:00,2026-02-08 05:13:30+00:00,seller_confirmed,high,1.0
stackinggold,chafingNip,1qyzpfp,o47cit9,o47eg3r,2026-02-08 04:59:08+00:00,2026-02-08 05:13:58+00:00,seller_confirmed,high,1.0
stackinggold,Diligent-Double5032,1qyzpfp,o47ghrm,o47otzv,2026-02-08 05:30:05+00:00,2026-02-08 06:41:45+00:00,seller_confirmed,high,1.0
stackinggold,getmakapiapia,1qyzpfp,o47gse0,o47hio5,2026-02-08 05:32:26+00:00,2026-02-08 05:38:23+00:00,seller_confirmed,high,1.0
xxSpeedysxx,TheDude5777,1qyy1ri,o470hp3,o472bq6,2026-02-08 03:34:24+00:00,2026-02-08 03:46:29+00:00,seller_confirmed,high,1.0
xxSpeedysxx,aezekiel_121,1qyy1ri,o470kt1,o472c6n,2026-02-08 03:34:58+00:00,2026-02-08 03:46:34+00:00,seller_confirmed,high,1.0
